Gene,logFC,p-value,Group
APOE,5.1067867,0.00000e+00,F3: FRC-like
ZEB1,-0.7858419,0.00000e+00,F3: FRC-like
NME1,-0.87482405,0.00000e+00,F3: FRC-like
TNFRSF9,-3.4912255,0.00000e+00,F3: FRC-like
SLC39A7,-0.8577234,0.00000e+00,F3: FRC-like
NEFH,-3.623917,0.00000e+00,F3: FRC-like
ARHGDIA,-0.7616067,0.00000e+00,F3: FRC-like
SYT14,-4.3853836,0.00000e+00,F3: FRC-like
CTTN,-0.78488845,0.00000e+00,F3: FRC-like
PTK2,-0.83304054,0.00000e+00,F3: FRC-like
DNAH12,-2.73503,0.00000e+00,F3: FRC-like
PTS,-0.98389333,0.00000e+00,F3: FRC-like
TSC22D1,-0.75647795,0.00000e+00,F3: FRC-like
COL8A2,-1.2313272,0.00000e+00,F3: FRC-like
TMED2,-0.6850969,0.00000e+00,F3: FRC-like
TPBGL,-3.9458818,0.00000e+00,F3: FRC-like
ABRACL,-1.1812304,0.00000e+00,F3: FRC-like
KDM5B,-0.9021878,0.00000e+00,F3: FRC-like
ATOX1,-0.66853285,0.00000e+00,F3: FRC-like
SYCE1L,-1.1850898,0.00000e+00,F3: FRC-like
GABRB2,-5.3311076,0.00000e+00,F3: FRC-like
FOXN3,-0.7744554,0.00000e+00,F3: FRC-like
FBN2,-2.7546818,0.00000e+00,F3: FRC-like
FILIP1,-1.5093191,0.00000e+00,F3: FRC-like
NKAIN3,-2.2989929,0.00000e+00,F3: FRC-like
THEMIS2,-2.5201795,0.00000e+00,F3: FRC-like
MYH9,-0.8382308,0.00000e+00,F3: FRC-like
TMEM263,-0.8940162,0.00000e+00,F3: FRC-like
DSEL,-1.007537,0.00000e+00,F3: FRC-like
FBXL7,-0.9301399,0.00000e+00,F3: FRC-like
TMCO3,-1.0927024,0.00000e+00,F3: FRC-like
WIF1,-3.1356082,0.00000e+00,F3: FRC-like
HDLBP,-0.66875,0.00000e+00,F3: FRC-like
LRRN3,-2.4647882,0.00000e+00,F3: FRC-like
SMAD1,-1.3166764,0.00000e+00,F3: FRC-like
RAB1A,-0.69243795,0.00000e+00,F3: FRC-like
RASGRF2,-3.6137373,0.00000e+00,F3: FRC-like
LINC01929,-4.2569757,0.00000e+00,F3: FRC-like
RLF,-0.87296855,0.00000e+00,F3: FRC-like
MPC2,-0.79064804,0.00000e+00,F3: FRC-like
MEG3,-0.719452,0.00000e+00,F3: FRC-like
PICALM,-0.8963366,0.00000e+00,F3: FRC-like
MIAT,-4.4692492,0.00000e+00,F3: FRC-like
FBXL20,-1.1833841,0.00000e+00,F3: FRC-like
FIBP,-0.91756356,0.00000e+00,F3: FRC-like
MIR181A1HG,-1.953402,0.00000e+00,F3: FRC-like
ATP6V1A,-1.077215,0.00000e+00,F3: FRC-like
KANK4,-4.553611,0.00000e+00,F3: FRC-like
NCOR2,-0.9171476,0.00000e+00,F3: FRC-like
STMP1,-0.7433526,0.00000e+00,F3: FRC-like
TMEFF1,-2.1156895,0.00000e+00,F3: FRC-like
AC026202.2,-1.6645186,0.00000e+00,F3: FRC-like
SEC13,-0.8007167,0.00000e+00,F3: FRC-like
SMCO4,-1.4217547,0.00000e+00,F3: FRC-like
NAGK,-1.011176,0.00000e+00,F3: FRC-like
HOXD10,-2.2233803,0.00000e+00,F3: FRC-like
PDE4D,-0.9044758,0.00000e+00,F3: FRC-like
ELMO1,-1.4130659,0.00000e+00,F3: FRC-like
ESYT2,-0.85592,0.00000e+00,F3: FRC-like
RORA,-0.7178115,0.00000e+00,F3: FRC-like
ISOC2,-0.8749398,0.00000e+00,F3: FRC-like
C7orf50,-1.0053997,0.00000e+00,F3: FRC-like
GALNT1,-1.037631,0.00000e+00,F3: FRC-like
GTF2IRD1,-1.5440975,0.00000e+00,F3: FRC-like
SORCS2,-1.6382654,0.00000e+00,F3: FRC-like
TSPAN9,-1.0923225,0.00000e+00,F3: FRC-like
MALAT1,-0.5543199,0.00000e+00,F3: FRC-like
CAP1,-0.729599,0.00000e+00,F3: FRC-like
AMPD3,-2.0437202,0.00000e+00,F3: FRC-like
PLXNC1,-1.7378005,0.00000e+00,F3: FRC-like
SHISAL1,-1.9748826,0.00000e+00,F3: FRC-like
MARCH1,-2.4723802,0.00000e+00,F3: FRC-like
IQGAP1,-0.6841575,0.00000e+00,F3: FRC-like
ACBD3,-0.8759165,0.00000e+00,F3: FRC-like
PHACTR3,-2.1461048,0.00000e+00,F3: FRC-like
MARVELD1,-1.0519714,0.00000e+00,F3: FRC-like
FERMT2,-0.7175912,0.00000e+00,F3: FRC-like
PPP1CA,-0.89021397,0.00000e+00,F3: FRC-like
LDLRAD4,-1.0270541,0.00000e+00,F3: FRC-like
TSPO,-0.60727185,0.00000e+00,F3: FRC-like
HIVEP2,-0.8573873,0.00000e+00,F3: FRC-like
TUBA1C,-0.8192133,0.00000e+00,F3: FRC-like
ISM1,-1.4468726,0.00000e+00,F3: FRC-like
COPA,-0.80061877,0.00000e+00,F3: FRC-like
FNIP1,-0.79798144,0.00000e+00,F3: FRC-like
ADAM19,-1.8808532,0.00000e+00,F3: FRC-like
RASSF8,-0.9293866,0.00000e+00,F3: FRC-like
NRBF2,-1.0260522,0.00000e+00,F3: FRC-like
F13A1,-1.1418816,0.00000e+00,F3: FRC-like
ITGA5,-0.90046203,0.00000e+00,F3: FRC-like
TIAM2,-1.2828183,0.00000e+00,F3: FRC-like
C1orf53,-2.069088,0.00000e+00,F3: FRC-like
NR1D1,-1.114658,0.00000e+00,F3: FRC-like
NREP-AS1,-3.840246,0.00000e+00,F3: FRC-like
TANC1,-0.83417547,0.00000e+00,F3: FRC-like
OTUD7B,-1.2307392,0.00000e+00,F3: FRC-like
IKBIP,-0.84374005,0.00000e+00,F3: FRC-like
TGFB1I1,-0.79225004,0.00000e+00,F3: FRC-like
CNIH3,-1.6042614,0.00000e+00,F3: FRC-like
ZNF365,-4.551599,0.00000e+00,F3: FRC-like
APCDD1,4.323153,0.00000e+00,F1: Superficial
VWC2,-1.9695212,0.00000e+00,F1: Superficial
AC017101.1,-1.8288344,0.00000e+00,F1: Superficial
AC005906.2,-6.3717794,0.00000e+00,F1: Superficial
RBP5,-1.3194757,0.00000e+00,F1: Superficial
CDC42BPA,-0.78393227,0.00000e+00,F1: Superficial
LHX9,-6.1851697,0.00000e+00,F1: Superficial
LUZP2,-4.5494556,0.00000e+00,F1: Superficial
ERFE,-5.6983275,0.00000e+00,F1: Superficial
WHRN,-1.851741,0.00000e+00,F1: Superficial
AK1,-0.84840095,0.00000e+00,F1: Superficial
MB21D2,-1.3239053,0.00000e+00,F1: Superficial
AC027288.3,-3.0999334,0.00000e+00,F1: Superficial
FIBP,-0.7562399,0.00000e+00,F1: Superficial
SEMA3C,-0.8550796,0.00000e+00,F1: Superficial
RAB27A,-1.2396985,0.00000e+00,F1: Superficial
COX7A2,-0.4996503,0.00000e+00,F1: Superficial
DCBLD2,-0.9756041,0.00000e+00,F1: Superficial
ITPRIP,-0.9780393,0.00000e+00,F1: Superficial
GDF10,-2.5353746,0.00000e+00,F1: Superficial
AL139220.2,-3.1816068,0.00000e+00,F1: Superficial
STAG1,-0.6787889,0.00000e+00,F1: Superficial
CNTLN,-1.0589635,0.00000e+00,F1: Superficial
GULP1,-1.0418789,0.00000e+00,F1: Superficial
C1orf53,-1.8747684,0.00000e+00,F1: Superficial
WSB2,-1.2149917,0.00000e+00,F1: Superficial
SRPK2,-0.73832834,0.00000e+00,F1: Superficial
OXCT1,-1.2853414,0.00000e+00,F1: Superficial
GPX8,-0.6706675,0.00000e+00,F1: Superficial
OST4,-0.48996237,0.00000e+00,F1: Superficial
SMAD1,-1.1221162,0.00000e+00,F1: Superficial
CASP3,-1.2230983,0.00000e+00,F1: Superficial
PDLIM4,-0.7121792,0.00000e+00,F1: Superficial
CYP27C1,-3.6890826,0.00000e+00,F1: Superficial
PAPSS2,-0.9353762,0.00000e+00,F1: Superficial
LAYN,-1.5977886,0.00000e+00,F1: Superficial
ZCCHC14,-0.8381691,0.00000e+00,F1: Superficial
AP002336.2,-1.765784,0.00000e+00,F1: Superficial
EBF3,-2.6207643,0.00000e+00,F1: Superficial
AC092069.1,-1.5060267,0.00000e+00,F1: Superficial
HIVEP2,-0.7531508,0.00000e+00,F1: Superficial
TLL2,-3.7080796,0.00000e+00,F1: Superficial
MANF,-0.72553504,0.00000e+00,F1: Superficial
STARD4-AS1,-1.5729139,0.00000e+00,F1: Superficial
AL031602.2,-2.4607553,0.00000e+00,F1: Superficial
GUK1,-0.50420994,0.00000e+00,F1: Superficial
SNX25,-1.2596596,0.00000e+00,F1: Superficial
CD276,-0.7061555,0.00000e+00,F1: Superficial
THEMIS2,-2.139203,0.00000e+00,F1: Superficial
ARHGAP31,-1.4646176,0.00000e+00,F1: Superficial
AP002954.1,-1.424451,0.00000e+00,F1: Superficial
TOX,-1.761155,0.00000e+00,F1: Superficial
MAPK12,-2.7777576,0.00000e+00,F1: Superficial
LRRN3,-1.9242003,0.00000e+00,F1: Superficial
ODF2L,-0.7825769,0.00000e+00,F1: Superficial
CCNY,-0.7914277,0.00000e+00,F1: Superficial
CBFB,-0.9390655,0.00000e+00,F1: Superficial
DYM,-0.7696872,0.00000e+00,F1: Superficial
RARRES1,-3.176951,0.00000e+00,F1: Superficial
RNF144A,-0.97299516,0.00000e+00,F1: Superficial
ADAMTS16,-4.9793434,0.00000e+00,F1: Superficial
RTRAF,-0.5637943,0.00000e+00,F1: Superficial
MCF2L2,-2.5107794,0.00000e+00,F1: Superficial
POMP,-0.51621044,0.00000e+00,F1: Superficial
GASK1A,-1.637297,0.00000e+00,F1: Superficial
RAC3,-1.6335157,0.00000e+00,F1: Superficial
HYAL2,-1.2569371,0.00000e+00,F1: Superficial
OTUD7B,-1.0304517,0.00000e+00,F1: Superficial
NREP-AS1,-3.232049,0.00000e+00,F1: Superficial
ITGA5,-0.73903817,0.00000e+00,F1: Superficial
RGPD3,-3.5930214,0.00000e+00,F1: Superficial
TUBA1C,-0.65550566,0.00000e+00,F1: Superficial
AZIN2,-1.4888515,0.00000e+00,F1: Superficial
MNAT1,-0.881351,0.00000e+00,F1: Superficial
NDUFS5,-0.47366047,0.00000e+00,F1: Superficial
AC005323.2,-3.557952,0.00000e+00,F1: Superficial
THY1,-0.5306958,0.00000e+00,F1: Superficial
CFI,-5.140432,0.00000e+00,F1: Superficial
KLF7,-1.0962331,0.00000e+00,F1: Superficial
GALNT13,-2.1633801,0.00000e+00,F1: Superficial
GTF3C6,-0.77999157,0.00000e+00,F1: Superficial
AC099560.1,-2.0041773,0.00000e+00,F1: Superficial
RPLP2,-0.34085763,0.00000e+00,F1: Superficial
LMO4,-0.6445448,0.00000e+00,F1: Superficial
BAALC,-2.3877285,0.00000e+00,F1: Superficial
TMCO3,-0.87025326,0.00000e+00,F1: Superficial
KCNMB4,-1.7656263,0.00000e+00,F1: Superficial
TMEM208,-0.6606398,0.00000e+00,F1: Superficial
RUFY3,-0.82779574,0.00000e+00,F1: Superficial
TRIM59,-2.3440459,0.00000e+00,F1: Superficial
OPCML,-3.5722573,0.00000e+00,F1: Superficial
IGDCC4,-1.361187,0.00000e+00,F1: Superficial
CTNNB1,-0.67944014,0.00000e+00,F1: Superficial
LINC02544,-1.642049,0.00000e+00,F1: Superficial
PEAK1,-0.601195,0.00000e+00,F1: Superficial
PLXNC1,-1.5155908,0.00000e+00,F1: Superficial
ARHGAP42,-0.9674334,0.00000e+00,F1: Superficial
PXDN,-0.75610524,0.00000e+00,F1: Superficial
KLHL4,-4.9150925,0.00000e+00,F1: Superficial
ALDH1A3,-2.9793077,0.00000e+00,F1: Superficial
INHBA,2.6958618,0.00000e+00,F6: Inflammatory myofibroblast
TGFBI,-1.2999488,0.00000e+00,F6: Inflammatory myofibroblast
MAMDC2,-2.1074247,0.00000e+00,F6: Inflammatory myofibroblast
LINC01048,-3.2677398,0.00000e+00,F6: Inflammatory myofibroblast
MET,-2.9423811,0.00000e+00,F6: Inflammatory myofibroblast
DKK3,-1.277294,0.00000e+00,F6: Inflammatory myofibroblast
LRRN1,-2.4536326,0.00000e+00,F6: Inflammatory myofibroblast
