,F1: Superficial,F2/3: Stroma_PPARG+,F2: Universal,F3: FRC-like,F4: DP_HHIP+,F4: DS_DPEP1+,F4: TNN+COCH+,F5: NGFR+,F5: RAMP1+,F6: Inflammatory myofibroblast,F6: Myofibroblast,F7: Fascia-like myofibroblast,F_Fascia
0,APCDD1,APOD,CFD,APOE,INHBA,GPC3,COCH,IGFBP7,APOD,COL6A3,COL1A1,POSTN,COMP
1,COL18A1,CFD,FBLN1,CXCL12,TRPS1,COL11A1,ASPN,APOD,CPE,COL3A1,COL3A1,FN1,THBS4
2,F13A1,APOE,PI16,CCL19,IGFBP3,F2R,TNN,TM4SF1,TIMP3,COL5A2,POSTN,COL1A1,SFRP4
3,SFRP2,CXCL12,GSN,IGFBP7,WNT5A,MEF2C,SPARCL1,TFPI,GSN,COL1A1,SPARC,COL3A1,DKK3
4,TWIST2,MGP,DCN,PTGDS,CPE,DPEP1,OGN,NR2F2,SFRP1,PRSS23,COL5A2,COL5A2,PRELP
5,CD9,GSN,CXCL14,C3,SERPINE2,EMP2,PTGDS,ABCA8,OLFML2A,COL5A1,COL1A2,CADM1,LHFPL6
6,COL23A1,ITM2A,SOD3,HLA-B,TFAP2A,PPP1R14A,CRABP1,A2M,SPRY1,BGN,CTHRC1,TGFBI,CD9
7,COL6A1,CFH,PLAC9,CD74,EDNRA,EDNRB,TCF4,EBF2,ITM2A,COL4A1,ASPN,SPON2,ASPN
8,NKD2,FGF7,IGFBP6,CCL2,DIO2,TCF7L2,TRPS1,LTBP4,MGP,INHBA,COL5A1,TAGLN,CDH13
9,IGFBP4,NFIB,MFAP5,GGT5,PTCH1,CD55,EMID1,TAGLN,FGFBP2,COL5A3,COL14A1,CAMK1D,FMOD
10,LEPR,EFEMP1,CLU,CYP7B1,MRPS6,EDNRA,F13A1,SLC22A3,A2M,PRKG1,ADAM12,SFRP4,CADM1
11,PLPP3,C3,SLPI,RARRES2,PTMA,PCDH15,DKK2,CLDN1,IGFBP2,COL4A2,HTRA1,EDIL3,MFGE8
12,CYP26B1,GPC3,MGP,RBP5,PGM2L1,POSTN,FIBIN,SCN7A,PTN,WNT5A,FN1,FABP5,IGFBP6
13,NCKAP5,MEDAG,TIMP3,TNFSF13B,STMN1,WWTR1,IGFBP5,LINC00486,PDGFD,TNC,COL6A1,ADAM12,AQP1
14,C1orf198,IGFBP7,ADIRF,CTSH,LEF1,LAMC3,RSPO4,CYP1B1,HPSE2,GLIS3,MDK,HTRA1,C1QTNF3
15,WIF1,ABCA8,MGST1,CH25H,LAMC3,COLEC12,PLXDC1,CNTN4,IGF1,RUNX2,FAP,SPARCL1,SPON2
16,PAPPA,MGST1,SCARA5,TMEM176A,TPD52,PTGER3,PRELP,MEOX2,COL15A1,SGIP1,PRDX4,CTHRC1,FOXP1
17,COL6A5,CYGB,IGFBP5,HAS2,CENPW,SGIP1,COL24A1,ITM2A,KIAA1217,TPM2,COL6A3,FOXP1,LUM
18,PTGDS,CXCL14,PCOLCE2,SOD2,CDH11,FOXD1,CADM2,PTGDS,RARRES2,GUCY1A1,SFRP2,DLG1,KCNMA1
19,CAV1,APOC1,CTHRC1,TMEM176B,BMP7,TSHZ3,PCDH15,SPARCL1,CFH,ADAMTS2,EDIL3,DKK3,SOX5
20,COL13A1,IGF1,CYBRD1,EFEMP1,ALX4,PTCH1,PLPP5,SFRP4,SPON2,FAP,GXYLT2,C1QTNF3,TM4SF1
21,MAMDC2,CCDC80,MFAP4,CXCL14,SLC5A3,TRPS1,LIMCH1,ITM2B,LINC00578,COL7A1,PPIC,PDLIM3,CLU
22,ROBO2,TFPI,CRYAB,B2M,DCXR,TNMD,SFRP1,CCL2,NEGR1,CSGALNACT1,PRSS23,PDLIM7,CAMK1D
